layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters
Cac_ATCC_49725	2437186	0.596652844841553	100	1.40845070422535	2226	968.869272237197	0.913348427243551	14	2184
Cac_ATCC_49726	2465636	0.596101865089049	100	1.40845070422535	2316	899.949481865285	0.939311398762834	122	2248
Cac_BWA070	2451769	0.594685064343053	100	1.40845070422535	2237	980.562807331247	0.912402432692476	0	2191
Cac_BWA096	2485091	0.594385427771278	100	1.40845070422535	2297	968.941227688289	0.924312228405318	1	2240
Cac_BWA109	2406417	0.595726581327398	100	1.40845070422535	2220	972.044594594595	0.922533376384891	10	2183
Cac_BWA121	2506669	0.595019926438348	100	1.40845070422535	2311	968.432713111207	0.921940631172285	19	2257
Cac_BWA161	2482201	0.595043070366597	100	1.40845070422535	2265	982.312582781457	0.912496610870755	22	2208
Cac_BWA270	2509738	0.594850119216106	100	1.40845070422535	2323	968.267757210504	0.925594623821291	19	2269
Cac_BWA273	2479472	0.595543548930939	100	1.40845070422535	2280	971.998684210526	0.919550614001691	0	2236
Cac_DU075	2510014	0.59379699053396	100	1.40845070422535	2309	975.059766132525	0.919915187724053	50	2260
Cac_DU076	2462267	0.595204338116053	100	1.40845070422535	2284	965.018826619965	0.927600459251576	4	2240
Cac_DU079	2526505	0.593897257169773	100	1.40845070422535	2347	956.794205368556	0.928951258754683	0	2263
Cac_KPL_1818	2588539	0.594033611882563	100	1.40845070422535	2408	944.93646179402	0.930254479457331	25	2301
Cac_KPL_1824	2638979	0.592588236055454	100	1.40845070422535	2460	942.042682926829	0.932178694866462	6	2349
Cac_KPL_1996	2576022	0.59311825234628	100	1.40845070422535	2384	961.989513422819	0.925457934753663	7	2306
Cac_KPL_2617	2582697	0.593956627509925	100	1.40845070422535	2423	944.138258357408	0.938166575482916	50	2340
Cac_KPL_2618	2462825	0.595343152680357	100	1.40845070422535	2261	965.202565236621	0.918051424685067	24	2208
Cac_KPL_2641	2517307	0.593817917321964	100	1.40845070422535	2308	966.456239168111	0.916852811357534	3	2235
Cac_KPL_2652	2499465	0.594498822748068	100	1.40845070422535	2280	975.319736842105	0.912195209774892	29	2237
Cac_KPL_2660	2542446	0.593959124402249	100	1.40845070422535	2315	970.464362850972	0.910540479522476	6	2247
Cac_KPL_2783	2497785	0.594348592853268	100	1.40845070422535	2304	961.244791666667	0.922417261693861	6	2245
Cac_KPL_2859	2440076	0.594240507262889	100	1.40845070422535	2229	972.407806191117	0.913496137005569	6	2185
Cac_KPL_3647	2502298	0.594393233739547	100	1.40845070422535	2309	963.948462537895	0.922751806539429	19	2250
Cac_KPL_3674	2464596	0.594264942408411	100	1.40845070422535	2258	975.645704162976	0.91617449675322	1	2205
Cac_KPL_3703	2463392	0.595617749834375	100	1.40845070422535	2252	969.967140319716	0.91418661747704	9	2198
Cac_KPL_3774	2527715	0.59489618093812	100	1.40845070422535	2321	962.405428694528	0.918220606357916	13	2257
Cac_KPL_3802	2617770	0.593016193172051	100	1.40845070422535	2411	957.490253007051	0.921012923213269	20	2336
Cac_KPL_3832	2386913	0.595891848592722	100	1.40845070422535	2191	969.835235052487	0.917922018942458	7	2148
Cac_KPL_3921	2460224	0.595956709632944	100	1.40845070422535	2279	954.450197455024	0.926338414713457	6	2210
Cac_KPL_3926	2572967	0.593645390710413	100	2.8169014084507	2395	945.073903966597	0.930831992792756	15	2314
Cac_KPL_3970	2495117	0.594254698276674	100	1.40845070422535	2290	971.591266375546	0.917792632569936	0	2239
Cac_KPL_4034	2480340	0.594133465573268	100	1.40845070422535	2285	959.036323851204	0.9212446680697	8	2229
Cac_KPL_4065	2487703	0.59454203335366	100	1.40845070422535	2287	968.025360734587	0.919321960861084	2	2224
Cac_KPL_4075	2485606	0.594516186394787	100	1.40845070422535	2284	971.76357267951	0.918890604544727	3	2235
